Predicted Deaths,Actual Deaths,Delta,RMSE,Country
63.42725000000002,67.571,-6.132438472125581,14.564798303034816,Argentina
17.565709999999996,15.857,10.775745727438963,14.564798303034816,Argentina
19.98275999999999,18.0,11.015333333333269,14.564798303034816,Argentina
192.63295000000002,159.143,21.043935328603848,14.564798303034816,Argentina
20.45114999999998,18.857,8.453889802195372,14.564798303034816,Argentina
18.461399999999994,21.714,-14.979276043105852,14.564798303034816,Argentina
257.52004,260.0,-0.9538307692307714,14.564798303034816,Argentina
191.37295000000003,152.571,25.43206113874854,14.564798303034816,Argentina
20.751179999999987,19.857,4.503097144583713,14.564798303034816,Argentina
232.89429,249.714,-6.735589514404474,14.564798303034816,Argentina
198.43293000000003,199.571,-0.5702582038472377,14.564798303034816,Argentina
17.557029999999987,16.714,5.043855450520452,14.564798303034816,Argentina
253.82874000000004,254.571,-0.2915728814358112,14.564798303034816,Argentina
20.339899999999986,16.714,21.693789637429624,14.564798303034816,Argentina
14.20555,14.286,-0.5631387372252487,1.725384750488196,Australia
31.671339999999987,31.429,0.771071303573095,1.725384750488196,Australia
7.031499999999998,7.143,-1.5609687806244177,1.725384750488196,Australia
14.065670000000003,14.857,-5.3263108299118045,1.725384750488196,Australia
11.760019999999999,11.571,1.6335666753089562,1.725384750488196,Australia
9.915680000000012,11.429,-13.241053460495126,1.725384750488196,Australia
6.98161999999999,6.143,13.651636008464758,1.725384750488196,Australia
10.162929999999996,6.857,48.21248359340813,1.725384750488196,Australia
6.70717,6.0,11.78616666666666,1.725384750488196,Australia
8.265989999999988,8.0,3.3248749999998495,1.725384750488196,Australia
8.165690000000009,9.286,-12.064505707516595,1.725384750488196,Australia
16.186859999999985,17.286,-6.358556056924772,1.725384750488196,Australia
53.759869999999985,56.143,-4.2447500133587726,1.725384750488196,Australia
63.86730000000002,64.0,-0.2073437499999664,1.725384750488196,Australia
12.49582000000001,14.143,-11.646609630205683,1.725384750488196,Australia
53.23551999999997,50.857,4.676878305837885,1.725384750488196,Australia
14.452939999999998,14.0,3.235285714285701,1.725384750488196,Australia
13.987040000000002,15.286,-8.497710323171512,1.725384750488196,Australia
14.651409999999997,14.571,0.551849564202848,1.725384750488196,Australia
68.63125999999997,66.714,2.873849566807522,1.725384750488196,Australia
14.027170000000007,13.429,4.454315287810013,1.725384750488196,Australia
7.055829999999995,5.429,29.965555350893254,1.725384750488196,Australia
79.29171000000005,84.143,-5.76553010945646,1.725384750488196,Australia
10.412919999999993,6.714,55.0926422400952,1.725384750488196,Australia
6.745600000000004,6.0,12.426666666666735,1.725384750488196,Australia
8.358689999999998,8.714,-4.077461556116627,1.725384750488196,Australia
37.20160000000003,35.0,6.290285714285792,1.725384750488196,Australia
13.891560000000016,13.857,0.24940463303757526,1.725384750488196,Australia
57.371369999999985,55.571,3.239765345234001,1.725384750488196,Australia
42.741359999999986,42.286,1.0768575888000393,2.098208066433609,Belgium
24.925669999999997,24.0,3.8569583333333193,2.098208066433609,Belgium
19.27991,18.857,2.242721535769219,2.098208066433609,Belgium
36.42862,35.286,3.2381681119990957,2.098208066433609,Belgium
19.177260000000025,19.0,0.9329473684211856,2.098208066433609,Belgium
52.11719,56.714,-8.105247381598895,2.098208066433609,Belgium
37.048750000000034,38.0,-2.503289473684122,2.098208066433609,Belgium
10.927309999999986,12.143,-10.011446924153953,2.098208066433609,Belgium
18.220080000000014,15.0,21.46720000000009,2.098208066433609,Belgium
19.038549999999997,15.857,20.06400958567193,2.098208066433609,Belgium
39.24288000000001,38.571,1.7419304658940882,2.098208066433609,Belgium
6.401619999999998,6.714,-4.652666070896675,2.098208066433609,Belgium
22.08844999999998,22.286,-0.8864309431931301,2.098208066433609,Belgium
12.378579999999992,14.714,-15.87209460377877,2.098208066433609,Belgium
18.122809999999994,18.571,-2.4133864627645654,2.098208066433609,Belgium
35.237059999999985,31.857,10.610101390589152,2.098208066433609,Belgium
21.901359999999997,21.857,0.202955574873027,2.098208066433609,Belgium
8.11870000000001,7.286,11.428767499313887,2.098208066433609,Belgium
26.927240000000012,26.0,3.566307692307738,2.098208066433609,Belgium
39.975629999999995,37.429,6.803895375243776,2.098208066433609,Belgium
40.98853999999999,42.429,-3.3949892762026175,2.098208066433609,Belgium
31.97729000000002,28.571,11.922193832907563,2.098208066433609,Belgium
22.86137999999999,27.571,-17.08178883609594,2.098208066433609,Belgium
27.181670000000025,29.429,-7.636447042033277,2.098208066433609,Belgium
21.45559999999999,20.429,5.025209261344125,2.098208066433609,Belgium
21.231319999999986,21.857,-2.8626069451434937,2.098208066433609,Belgium
26.294340000000012,26.0,1.132076923076971,2.098208066433609,Belgium
31.210020000000004,31.429,-0.696745044385742,2.098208066433609,Belgium
8.327429999999982,9.143,-8.920157497539307,2.098208066433609,Belgium
7.015720000000001,6.714,4.493893357164141,2.098208066433609,Belgium
43.498449999999984,38.571,12.775012314951612,2.098208066433609,Belgium
32.563030000000026,30.714,6.0201536758482375,2.098208066433609,Belgium
54.29433000000001,56.714,-4.266442148323147,2.098208066433609,Belgium
26.055930000000036,25.286,3.0448864984577795,2.098208066433609,Belgium
17.559839999999998,16.857,4.16942516462003,2.974031736880774,Bolivia
4.202950000000001,3.714,13.165051157781404,2.974031736880774,Bolivia
3.895810000000001,10.857,-64.11706732983328,2.974031736880774,Bolivia
12.168389999999999,12.857,-5.355915065722957,2.974031736880774,Bolivia
18.43279999999999,22.143,-16.755633834620472,2.974031736880774,Bolivia
28.042729999999985,26.857,4.414975611572347,2.974031736880774,Bolivia
